chainname,chainid,blockexplorer,apiurl,status,comment
Ethereum Mainnet,1,https://etherscan.io/,https://api.etherscan.io/v2/api?chainid=1,1,
Sepolia Testnet,11155111,https://sepolia.etherscan.io/,https://api.etherscan.io/v2/api?chainid=11155111,1,
Hoodi Testnet,560048,https://hoodi.etherscan.io/,https://api.etherscan.io/v2/api?chainid=560048,1,
BNB Smart Chain Mainnet,56,https://bscscan.com/,https://api.etherscan.io/v2/api?chainid=56,1,
BNB Smart Chain Testnet,97,https://testnet.bscscan.com/,https://api.etherscan.io/v2/api?chainid=97,1,
Polygon Mainnet,137,https://polygonscan.com/,https://api.etherscan.io/v2/api?chainid=137,1,
Polygon Amoy Testnet,80002,https://amoy.polygonscan.com/,https://api.etherscan.io/v2/api?chainid=80002,1,
Base Mainnet,8453,https://basescan.org/,https://api.etherscan.io/v2/api?chainid=8453,1,
Base Sepolia Testnet,84532,https://sepolia.basescan.org/,https://api.etherscan.io/v2/api?chainid=84532,1,
Arbitrum One Mainnet,42161,https://arbiscan.io/,https://api.etherscan.io/v2/api?chainid=42161,1,
Arbitrum Sepolia Testnet,421614,https://sepolia.arbiscan.io/,https://api.etherscan.io/v2/api?chainid=421614,1,
Linea Mainnet,59144,https://lineascan.build/,https://api.etherscan.io/v2/api?chainid=59144,1,
Linea Sepolia Testnet,59141,https://sepolia.lineascan.build/,https://api.etherscan.io/v2/api?chainid=59141,1,
Blast Mainnet,81457,https://blastscan.io/,https://api.etherscan.io/v2/api?chainid=81457,1,
Blast Sepolia Testnet,168587773,https://sepolia.blastscan.io/,https://api.etherscan.io/v2/api?chainid=168587773,1,
OP Mainnet,10,https://optimistic.etherscan.io/,https://api.etherscan.io/v2/api?chainid=10,1,
OP Sepolia Testnet,11155420,https://sepolia-optimism.etherscan.io/,https://api.etherscan.io/v2/api?chainid=11155420,1,
Avalanche C-Chain,43114,https://snowscan.xyz/,https://api.etherscan.io/v2/api?chainid=43114,1,
Avalanche Fuji Testnet,43113,https://testnet.snowscan.xyz/,https://api.etherscan.io/v2/api?chainid=43113,1,
BitTorrent Chain Mainnet,199,https://bttcscan.com/,https://api.etherscan.io/v2/api?chainid=199,1,
BitTorrent Chain Testnet,1029,https://testnet.bttcscan.com/,https://api.etherscan.io/v2/api?chainid=1029,1,
Celo Mainnet,42220,https://celoscan.io/,https://api.etherscan.io/v2/api?chainid=42220,1,
Celo Sepolia Testnet,11142220,https://sepolia.celoscan.io/,https://api.etherscan.io/v2/api?chainid=11142220,1,
